
=== Model Comparison Report ===
Compare Mode: propagated
Accuracy Source: Local (Comparison Batches)
Metric               | Reference (FP32)     | Quantized (fp8_e4m3)
------------------------------------------------------------------
Top-1 Accuracy       | 32.28%               | 31.10%
Top-5 Accuracy       | 54.33%               | 52.76%
Perplexity           | 61.96                | 64.53
Avg Certainty        | 0.3544               | 0.3422
Weight Comp. Red. %  | N/A                  | -12.50% (92.9% of total compressed)
Input Comp. Red. %   | N/A                  | -12.50% (7.1% of total compressed)
------------------------------------------------------------------


--- FP8 Compliance Check (Value-Based) ---
Layer                                                | Type                         | Shape              | Weight Fmt   | Input Q?   | Pre-Quant    | Input Fmt    | Output Q?  | Output Pre-Quant | Output Fmt   | Weight Check           | Input Check            | Output Check          
model.decoder.layers.3.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.3.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.4.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.4.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.4.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.5.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.5.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.5.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.6.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.6.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.6.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.7.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.7.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.7.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.8.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.8.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.8.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.9.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.9.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.9.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn_layer_norm         | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.q_proj             | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.k_proj             | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.v_proj             | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.qk_bmm             | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.attn_softmax       | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.av_bmm             | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.10.self_attn.out_proj           | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
