layer_type                 , num_layers, num_weights       , num_inputs, num_outputs, num_macs , cycles, input_data_elements, output_data_elements, bw_in_elements_per_cycle, bw_out_elements_per_cycle, bw_total_elements_per_cycle, macs_status, input_shape                                 , output_shape       , batch_size, layer_name
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.1.conv1 + layer2.1.bn1 + layer2.1.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.1.conv2 + layer2.1.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.1.conv3 + layer2.1.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_4
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.2.conv1 + layer2.2.bn1 + layer2.2.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.2.conv2 + layer2.2.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.2.conv3 + layer2.2.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_5
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.3.conv1 + layer2.3.bn1 + layer2.3.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.3.conv2 + layer2.3.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.3.conv3 + layer2.3.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_6
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.4.conv1 + layer2.4.bn1 + layer2.4.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.4.conv2 + layer2.4.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.4.conv3 + layer2.4.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_7
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.5.conv1 + layer2.5.bn1 + layer2.5.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.5.conv2 + layer2.5.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.5.conv3 + layer2.5.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_8
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.6.conv1 + layer2.6.bn1 + layer2.6.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.6.conv2 + layer2.6.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.6.conv3 + layer2.6.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_9
Conv2d + BatchNorm2d + ReLU,          3, 65536 + 256 + 0   ,     401408,      100352,  51380224, 401408,            467200.0,               100352,                         ,                          ,         1.4139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.7.conv1 + layer2.7.bn1 + layer2.7.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     100352,      100352, 115605504, 903168,            248064.0,               100352,                         ,                          ,         0.38577097505668934, ok         , "(1, 128, 28, 28)"                          , "(1, 128, 28, 28)" ,          1, layer2.7.conv2 + layer2.7.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.7.conv3 + layer2.7.bn3
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_10
Conv2d + BatchNorm2d + ReLU,          3, 131072 + 512 + 0  ,     401408,      200704, 102760448, 802816,            532992.0,               200704,                         ,                          ,         0.9139030612244898 , ok         , "(1, 512, 28, 28)"                          , "(1, 256, 28, 28)" ,          1, layer3.0.conv1 + layer3.0.bn1 + layer3.0.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,     200704,       50176, 115605504, 903168,            791040.0,                50176,                         ,                          ,         0.93140589569161   , ok         , "(1, 256, 28, 28)"                          , "(1, 256, 14, 14)" ,          1, layer3.0.conv2 + layer3.0.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.0.conv3 + layer3.0.bn3
Conv2d + BatchNorm2d       ,          2, 524288 + 2048     ,     401408,      200704, 102760448, 802816,            927744.0,               200704,                         ,                          ,         1.4056122448979593 , ok         , "(1, 512, 28, 28)"                          , "(1, 1024, 14, 14)",          1, layer3.0.downsample.0 + layer3.0.downsample.1
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_11
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.1.conv1 + layer3.1.bn1 + layer3.1.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.1.conv2 + layer3.1.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.1.conv3 + layer3.1.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_12
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.2.conv1 + layer3.2.bn1 + layer3.2.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.2.conv2 + layer3.2.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.2.conv3 + layer3.2.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_13
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.3.conv1 + layer3.3.bn1 + layer3.3.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.3.conv2 + layer3.3.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.3.conv3 + layer3.3.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_14
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.4.conv1 + layer3.4.bn1 + layer3.4.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.4.conv2 + layer3.4.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.4.conv3 + layer3.4.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_15
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.5.conv1 + layer3.5.bn1 + layer3.5.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.5.conv2 + layer3.5.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.5.conv3 + layer3.5.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_16
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.6.conv1 + layer3.6.bn1 + layer3.6.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.6.conv2 + layer3.6.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.6.conv3 + layer3.6.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_17
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.7.conv1 + layer3.7.bn1 + layer3.7.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.7.conv2 + layer3.7.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.7.conv3 + layer3.7.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_18
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.8.conv1 + layer3.8.bn1 + layer3.8.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.8.conv2 + layer3.8.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.8.conv3 + layer3.8.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_19
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.9.conv1 + layer3.9.bn1 + layer3.9.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.9.conv2 + layer3.9.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.9.conv3 + layer3.9.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_20
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.10.conv1 + layer3.10.bn1 + layer3.10.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.10.conv2 + layer3.10.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.10.conv3 + layer3.10.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_21
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.11.conv1 + layer3.11.bn1 + layer3.11.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.11.conv2 + layer3.11.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.11.conv3 + layer3.11.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_22
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.12.conv1 + layer3.12.bn1 + layer3.12.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.12.conv2 + layer3.12.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.12.conv3 + layer3.12.bn3
