layer_type,num_weights,num_inputs,num_outputs,num_macs,cycles,input_data_elements,output_data_elements,bw_in_elements_per_cycle,bw_out_elements_per_cycle,bw_total_elements_per_cycle,macs_status,input_shape,output_shape,batch_size,layer_name
Conv2d + BatchNorm2d + ReLU,73728 + 256 + 0,200704,100352,57802752,451584,274688.0,100352,,,0.8304988662131519,ok,"(1, 64, 56, 56)","(1, 128, 28, 28)",1,layer2.0.conv1 + layer2.0.bn1 + layer2.0.relu
Conv2d + BatchNorm2d + ReLU,294912 + 512 + 0,100352,50176,57802752,451584,395776.0,50176,,,0.9875283446712018,ok,"(1, 128, 28, 28)","(1, 256, 14, 14)",1,layer3.0.conv1 + layer3.0.bn1 + layer3.0.relu
Conv2d + BatchNorm2d + ReLU,9408 + 128 + 0,150528,802816,118013952,921984,160064.0,802816,,,1.044356518117451,ok,"(1, 3, 224, 224)","(1, 64, 112, 112)",1,conv1 + bn1 + relu
Conv2d + BatchNorm2d,2359296 + 1024,25088,25088,115605504,903168,2385408.0,25088,,,2.6689342403628116,ok,"(1, 512, 7, 7)","(1, 512, 7, 7)",1,layer4.0.conv2 + layer4.0.bn2
Conv2d + BatchNorm2d + ReLU,2359296 + 1024 + 0,25088,25088,115605504,903168,2385408.0,25088,,,2.6689342403628116,ok,"(1, 512, 7, 7)","(1, 512, 7, 7)",1,layer4.1.conv1 + layer4.1.bn1 + layer4.1.relu
Conv2d + BatchNorm2d,2359296 + 1024,25088,25088,115605504,903168,2385408.0,25088,,,2.6689342403628116,ok,"(1, 512, 7, 7)","(1, 512, 7, 7)",1,layer4.1.conv2 + layer4.1.bn2
Conv2d + BatchNorm2d + ReLU,1179648 + 1024 + 0,50176,25088,57802752,451584,1230848.0,25088,,,2.7811791383219955,ok,"(1, 256, 14, 14)","(1, 512, 7, 7)",1,layer4.0.conv1 + layer4.0.bn1 + layer4.0.relu
Conv2d + BatchNorm2d,32768 + 512,100352,50176,6422528,50176,133632.0,50176,,,3.663265306122449,ok,"(1, 128, 28, 28)","(1, 256, 14, 14)",1,layer3.0.downsample.0 + layer3.0.downsample.1
Conv2d + BatchNorm2d,131072 + 1024,50176,25088,6422528,50176,182272.0,25088,,,4.13265306122449,ok,"(1, 256, 14, 14)","(1, 512, 7, 7)",1,layer4.0.downsample.0 + layer4.0.downsample.1
Conv2d + BatchNorm2d,8192 + 256,200704,100352,6422528,50176,209152.0,100352,,,6.168367346938775,ok,"(1, 64, 56, 56)","(1, 128, 28, 28)",1,layer2.0.downsample.0 + layer2.0.downsample.1
MaxPool2d,0,802816,200704,1806336,14112,802816.0,200704,,,71.11111111111111,ok,"(1, 64, 112, 112)","(1, 64, 56, 56)",1,maxpool
Linear,513000,512,1000,512000,4000,513512.0,1000,,,128.628,ok,"(1, 512)","(1, 1000)",1,fc
AdaptiveAvgPool2d,0,25088,512,25088,196,25088.0,512,,,130.6122448979592,ok,"(1, 512, 7, 7)","(1, 512, 1, 1)",1,avgpool
ResidualAdd,0,401408,200704,200704,1568,401408.0,200704,,,384.0,ok,"['(1, 64, 56, 56)', '(1, 64, 56, 56)']","(1, 64, 56, 56)",1,residual_add_0
ResidualAdd,0,401408,200704,200704,1568,401408.0,200704,,,384.0,ok,"['(1, 64, 56, 56)', '(1, 64, 56, 56)']","(1, 64, 56, 56)",1,residual_add_1
ResidualAdd,0,200704,100352,100352,784,200704.0,100352,,,384.0,ok,"['(1, 128, 28, 28)', '(1, 128, 28, 28)']","(1, 128, 28, 28)",1,residual_add_2
ResidualAdd,0,200704,100352,100352,784,200704.0,100352,,,384.0,ok,"['(1, 128, 28, 28)', '(1, 128, 28, 28)']","(1, 128, 28, 28)",1,residual_add_3
ResidualAdd,0,100352,50176,50176,392,100352.0,50176,,,384.0,ok,"['(1, 256, 14, 14)', '(1, 256, 14, 14)']","(1, 256, 14, 14)",1,residual_add_4
ResidualAdd,0,100352,50176,50176,392,100352.0,50176,,,384.0,ok,"['(1, 256, 14, 14)', '(1, 256, 14, 14)']","(1, 256, 14, 14)",1,residual_add_5
ResidualAdd,0,50176,25088,25088,196,50176.0,25088,,,384.0,ok,"['(1, 512, 7, 7)', '(1, 512, 7, 7)']","(1, 512, 7, 7)",1,residual_add_6
ResidualAdd,0,50176,25088,25088,196,50176.0,25088,,,384.0,ok,"['(1, 512, 7, 7)', '(1, 512, 7, 7)']","(1, 512, 7, 7)",1,residual_add_7
