

# Dashboard date run: 20260506_063522_dashboard_experiment_hybrid_resnext101_64x4d
# Started: 2026-05-06 06:35:22
$ /usr/bin/python /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/find_optimal_hybrid_quant.py --model_name resnext101_64x4d --weights DEFAULT --dataset_name imagenet --dataset_path /data/imagenet/val --batch_size 64 --num_workers 8 --limit_batches -1 --output_dir /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results --weight_mode optimized --weight_metric mse --weight_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --weight_chunk_size 128 --input_mode dynamic --input_metric mse --input_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --input_chunk_size 128 --unsigned_input_sources quantsoftmax,softmax,relu,quantrelu --dynamic_unsigned_input_candidates --per_chunk_format --use_cache_sim_db

Using device: cuda
Processing 1 model(s).
Runner initialized on device: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1605: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)

============================================================
 HYBRID EXPERIMENT: resnext101_64x4d
  Weight Mode  : optimized
  Weight Metric: mse
  Weight Cands : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
  Input Mode   : dynamic
  Input Metric : mse
  Input Cands  : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
============================================================

[CacheSim] Model 'resnext101_64x4d' not found in cache simulation database.
[CacheSim] Triggering automatic cache simulation...
--- ASIC Cache Simulation ---
Model:         resnext101_64x4d
Cache Size:    2.000M elements  (16 banks × 125.0K elements)
Metadata Bits: 0 per 128-bit chunk
Batch Size:    1
Auto-detected model source: torchvision

Layer Name                                    | Type           |       Input |     Weights |      Output |      Banked |     NextXin | OnChip  | Reason
layer2.0.bn1                                  | QuantBatchNorm2d |      1.606M |         512 |      1.606M |      1.625M |      1.625M | no      | fallback — output to external
layer2.0.relu                                 | QuantReLU      |      1.606M |           0 |      1.606M |      1.625M |      1.625M | no      | fallback — output to external
layer2.0.conv2                                | QuantConv2d    |      1.606M |       36.9K |      401.4K |      500.0K |      500.0K | yes     | conv_input_dominated
layer2.0.bn2                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.0.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.0.conv3                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.0.bn3                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      875.0K | yes     | global_fit
layer2.0.downsample.0                         | QuantConv2d    |      802.8K |      131.1K |      401.4K |      500.0K |      500.0K | yes     | conv_input_dominated
layer2.0.downsample.1                         | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
add_3                                         | QuantAdd       |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | residual
layer2.0.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.1.conv1                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.1.bn1                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.1.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.1.conv2                                | QuantConv2d    |      401.4K |       36.9K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.1.bn2                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.1.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.1.conv3                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.1.bn3                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
add_4                                         | QuantAdd       |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | residual
layer2.1.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.2.conv1                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.2.bn1                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.2.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.2.conv2                                | QuantConv2d    |      401.4K |       36.9K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.2.bn2                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.2.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.2.conv3                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.2.bn3                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
add_5                                         | QuantAdd       |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | residual
layer2.2.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.3.conv1                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.3.bn1                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.3.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.3.conv2                                | QuantConv2d    |      401.4K |       36.9K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.3.bn2                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.3.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer2.3.conv3                                | QuantConv2d    |      401.4K |      262.1K |      401.4K |      500.0K |      500.0K | yes     | conv_output_dominated
layer2.3.bn3                                  | QuantBatchNorm2d |      401.4K |         512 |      401.4K |      500.0K |      500.0K | yes     | global_fit
add_6                                         | QuantAdd       |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | residual
layer2.3.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer3.0.conv1                                | QuantConv2d    |      401.4K |      524.3K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer3.0.bn1                                  | QuantBatchNorm2d |      802.8K |        1.0K |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer3.0.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer3.0.conv2                                | QuantConv2d    |      802.8K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_input_dominated
layer3.0.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.0.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.0.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.0.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      500.0K | yes     | global_fit
layer3.0.downsample.0                         | QuantConv2d    |      401.4K |      524.3K |      200.7K |      250.0K |      250.0K | yes     | conv_input_dominated
layer3.0.downsample.1                         | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_7                                         | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.0.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.1.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.1.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.1.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.1.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.1.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.1.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.1.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.1.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_8                                         | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.1.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.2.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.2.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.2.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.2.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.2.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.2.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.2.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.2.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_9                                         | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.2.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.3.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.3.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.3.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.3.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.3.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.3.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.3.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.3.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_10                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.3.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.4.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.4.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.4.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.4.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.4.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.4.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.4.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.4.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_11                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.4.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.5.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.5.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.5.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.5.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.5.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.5.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.5.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.5.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_12                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.5.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.6.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.6.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.6.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.6.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.6.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.6.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.6.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.6.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_13                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.6.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.7.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.7.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.7.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.7.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.7.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.7.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.7.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.7.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_14                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.7.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.8.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.8.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.8.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.8.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.8.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.8.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.8.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.8.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_15                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.8.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.9.conv1                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.9.bn1                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.9.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.9.conv2                                | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.9.bn2                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.9.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.9.conv3                                | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.9.bn3                                  | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_16                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.9.relu                                 | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.10.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.10.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.10.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.10.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.10.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.10.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.10.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
