layer                , x_in , x_out, total_cache_needed_kb, weight_stream, pipeline_boundary, jumpback, residual_0, residual_1, residual_2, residual_3, residual_4, residual_5, residual_6, residual_7, residual_8, residual_9, residual_10, residual_11, residual_12, residual_13, residual_14, residual_15, hold_0_maxpool_to_conv1_0, hold_1_conv3_to_add, hold_2_add_2_to_conv1_0, hold_3_conv3_to_add_3, hold_4_add_6_to_conv1_0, hold_5_conv3_to_add_7, hold_6_add_12_to_conv1_0, hold_7_conv3_to_add_13
layer3.0.conv3       , 125.0, 125.0,                1250.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                   500.0,                   0  ,                      0  ,                    0
layer3.0.downsample.0,   0  ,   0  ,                1250.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                   500.0,                 250.0,                      0  ,                    0
add_7                , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.1.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.1.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.1.conv3       , 125.0, 125.0,                1000.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_8                , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.2.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.2.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.2.conv3       , 125.0, 125.0,                1000.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_9                , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,      250.0,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.3.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,       250.0,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.3.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,       250.0,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.3.conv3       , 125.0, 125.0,                1000.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,       250.0,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_10               , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,       250.0,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.4.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,       250.0,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.4.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,       250.0,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.4.conv3       , 125.0, 125.0,                1000.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,       250.0,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_11               , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,       250.0,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.5.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,       250.0,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.5.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,       250.0,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer3.5.conv3       , 125.0, 125.0,                1000.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,       250.0,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_12               , 250.0,   0  ,                 500.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,       250.0,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.0.conv1       ,   0  , 125.0,                 625.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                    250.0,                    0
layer4.0.conv2       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                    250.0,                    0
layer4.0.conv3       , 125.0,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                    250.0,                    0
layer4.0.downsample.0,   0  ,   0  ,                 875.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                    250.0,                  125.0
add_13               , 125.0,   0  ,                 250.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,       125.0,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.1.conv1       ,   0  , 125.0,                 500.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,       125.0,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.1.conv2       , 125.0,   0  ,                 750.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,       125.0,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.1.conv3       , 125.0,   0  ,                 750.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,       125.0,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_14               , 125.0,   0  ,                 250.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,       125.0,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.2.conv1       ,   0  , 125.0,                 500.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,       125.0,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.2.conv2       , 125.0,   0  ,                 750.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,       125.0,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
layer4.2.conv3       , 125.0,   0  ,                 750.0,         250.0,             125.0,    125.0,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,       125.0,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
add_15               , 125.0,   0  ,                 250.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,       125.0,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
avgpool              , 125.0, 125.0,                 250.0,           0  ,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
fc                   , 125.0, 125.0,                 500.0,         250.0,               0  ,      0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,        0  ,         0  ,         0  ,         0  ,         0  ,         0  ,         0  ,                       0  ,                 0  ,                     0  ,                   0  ,                     0  ,                   0  ,                      0  ,                    0
