# pseudo_MSE hardware test vectors
# seed=42
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=50
# chunk_size=128
# e2_win_divisor=4
# signedness: sgn=1 for every section in this file
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# raw_fp32 values are provided only to test the pre-scale path
# feed scaled_fp32 values to the pseudo_MSE block, or compute scaled_fp32 = raw_fp32 / chunk_scale
# decision rule: choose_exp2 if floor(expected_e2_wins / e2_win_divisor) >= expected_e1_wins else choose_exp1
# expected_error rows: selected chunk error matching expected_decision, as fp32_hex fp32_dec
# expected_e1_wins/expected_e2_wins rows: per-value pseudo_diff winners; ties are not counted
# expected_e2_wins_shifted row: floor(expected_e2_wins / e2_win_divisor), used only for expected_decision
# expected_e2_wins_shift2 row: legacy floor(expected_e2_wins / 4) diagnostic
# mantissa mode: truncate
# q_exp*_bits are packed sign/exponent/mantissa fields after pseudo_MSE quantization
# q_exp*_exp_field and q_exp*_mant_field are the stored exponent and mantissa fields as integers
# q_exp*_mant_bits are the stored mantissa fields as zero-padded binary strings
# err_exp*_pre_square = scaled-q_exp* for each value, before squaring
# chunk_diff_exp2_minus_exp1 is the signed sum of pseudo_diff values for debug; it does not drive expected_decision
# pseudo_diff_exp2_minus_exp1 is the bit-level pseudo err2-err1 signal for each value
# value mode: raw-and-scaled
# chunk_scale rows: chunk_scale chunk_scale_fp32_hex chunk_scale_fp32_dec
# chunk max rows use max absolute value; *_value is the signed value at that index
# chunk max rows: chunk_max_abs_index value_index, chunk_max_abs_raw_value raw_fp32_hex raw_fp32_dec, chunk_max_abs_raw_abs raw_abs_fp32_hex raw_abs_fp32_dec, chunk_max_abs_scaled_value scaled_fp32_hex scaled_fp32_dec, chunk_max_abs_scaled_abs scaled_abs_fp32_hex scaled_abs_fp32_dec
# raw max alias rows: raw_max_abs_index, raw_max_abs_value, raw_max_abs_abs
# raw-and-scaled max summary rows: raw_and_scaled_max_abs value_index scale_fp32_hex scale_fp32_dec raw_value_fp32_hex raw_value_fp32_dec raw_abs_fp32_hex raw_abs_fp32_dec scaled_value_fp32_hex scaled_value_fp32_dec scaled_abs_fp32_hex scaled_abs_fp32_dec
# value rows: value_index raw_fp32_hex raw_fp32_dec scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
# scaled_fp32_dec = raw_fp32_dec / scale_fp32_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.009765625
err_exp2 0.041015625
chunk_diff_exp2_minus_exp1 64
expected_e1_wins 64
expected_e2_wins 0
expected_e2_wins_shifted 0
expected_e2_wins_shift2 0
expected_decision exp1
expected_error 0x3c200000 0.009765625
chunk_max_abs_index 127
raw_max_abs_index 127
raw_max_abs_value 0xbfff8000 -1.99609375
raw_max_abs_abs 0x3fff8000 1.99609375
chunk_max_abs_raw_value 0xbfff8000 -1.99609375
chunk_max_abs_raw_abs 0x3fff8000 1.99609375
raw_and_scaled_max_abs 127 0x3f800000 1 0xbfff8000 -1.99609375 0x3fff8000 1.99609375 0xbfff8000 -1.99609375 0x3fff8000 1.99609375
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
chunk_scale 0x3f800000 1
# value_index raw_fp32_hex raw_fp32_dec scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
024 0x3f988000 1.19140625 0x3f988000 1.19140625 01001100 1 12 001100 01100110 3 6 00110 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
025 0xbf998000 -1.19921875 0xbf998000 -1.19921875 11001100 1 12 001100 11100110 3 6 00110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
026 0x3f9a8000 1.20703125 0x3f9a8000 1.20703125 01001101 1 13 001101 01100110 3 6 00110 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
027 0xbf9b8000 -1.21484375 0xbf9b8000 -1.21484375 11001101 1 13 001101 11100110 3 6 00110 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
028 0x3f9c8000 1.22265625 0x3f9c8000 1.22265625 01001110 1 14 001110 01100111 3 7 00111 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
029 0xbf9d8000 -1.23046875 0xbf9d8000 -1.23046875 11001110 1 14 001110 11100111 3 7 00111 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
030 0x3f9e8000 1.23828125 0x3f9e8000 1.23828125 01001111 1 15 001111 01100111 3 7 00111 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
031 0xbf9f8000 -1.24609375 0xbf9f8000 -1.24609375 11001111 1 15 001111 11100111 3 7 00111 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
032 0x3fa08000 1.25390625 0x3fa08000 1.25390625 01010000 1 16 010000 01101000 3 8 01000 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
033 0xbfa18000 -1.26171875 0xbfa18000 -1.26171875 11010000 1 16 010000 11101000 3 8 01000 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
034 0x3fa28000 1.26953125 0x3fa28000 1.26953125 01010001 1 17 010001 01101000 3 8 01000 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
035 0xbfa38000 -1.27734375 0xbfa38000 -1.27734375 11010001 1 17 010001 11101000 3 8 01000 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
036 0x3fa48000 1.28515625 0x3fa48000 1.28515625 01010010 1 18 010010 01101001 3 9 01001 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
037 0xbfa58000 -1.29296875 0xbfa58000 -1.29296875 11010010 1 18 010010 11101001 3 9 01001 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
038 0x3fa68000 1.30078125 0x3fa68000 1.30078125 01010011 1 19 010011 01101001 3 9 01001 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
039 0xbfa78000 -1.30859375 0xbfa78000 -1.30859375 11010011 1 19 010011 11101001 3 9 01001 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
040 0x3fa88000 1.31640625 0x3fa88000 1.31640625 01010100 1 20 010100 01101010 3 10 01010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
041 0xbfa98000 -1.32421875 0xbfa98000 -1.32421875 11010100 1 20 010100 11101010 3 10 01010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
042 0x3faa8000 1.33203125 0x3faa8000 1.33203125 01010101 1 21 010101 01101010 3 10 01010 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
043 0xbfab8000 -1.33984375 0xbfab8000 -1.33984375 11010101 1 21 010101 11101010 3 10 01010 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
044 0x3fac8000 1.34765625 0x3fac8000 1.34765625 01010110 1 22 010110 01101011 3 11 01011 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
045 0xbfad8000 -1.35546875 0xbfad8000 -1.35546875 11010110 1 22 010110 11101011 3 11 01011 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
046 0x3fae8000 1.36328125 0x3fae8000 1.36328125 01010111 1 23 010111 01101011 3 11 01011 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
047 0xbfaf8000 -1.37109375 0xbfaf8000 -1.37109375 11010111 1 23 010111 11101011 3 11 01011 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
048 0x3fb08000 1.37890625 0x3fb08000 1.37890625 01011000 1 24 011000 01101100 3 12 01100 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
049 0xbfb18000 -1.38671875 0xbfb18000 -1.38671875 11011000 1 24 011000 11101100 3 12 01100 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
050 0x3fb28000 1.39453125 0x3fb28000 1.39453125 01011001 1 25 011001 01101100 3 12 01100 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
051 0xbfb38000 -1.40234375 0xbfb38000 -1.40234375 11011001 1 25 011001 11101100 3 12 01100 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
052 0x3fb48000 1.41015625 0x3fb48000 1.41015625 01011010 1 26 011010 01101101 3 13 01101 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
053 0xbfb58000 -1.41796875 0xbfb58000 -1.41796875 11011010 1 26 011010 11101101 3 13 01101 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
054 0x3fb68000 1.42578125 0x3fb68000 1.42578125 01011011 1 27 011011 01101101 3 13 01101 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
055 0xbfb78000 -1.43359375 0xbfb78000 -1.43359375 11011011 1 27 011011 11101101 3 13 01101 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
056 0x3fb88000 1.44140625 0x3fb88000 1.44140625 01011100 1 28 011100 01101110 3 14 01110 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
057 0xbfb98000 -1.44921875 0xbfb98000 -1.44921875 11011100 1 28 011100 11101110 3 14 01110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
058 0x3fba8000 1.45703125 0x3fba8000 1.45703125 01011101 1 29 011101 01101110 3 14 01110 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
059 0xbfbb8000 -1.46484375 0xbfbb8000 -1.46484375 11011101 1 29 011101 11101110 3 14 01110 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
060 0x3fbc8000 1.47265625 0x3fbc8000 1.47265625 01011110 1 30 011110 01101111 3 15 01111 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
061 0xbfbd8000 -1.48046875 0xbfbd8000 -1.48046875 11011110 1 30 011110 11101111 3 15 01111 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
062 0x3fbe8000 1.48828125 0x3fbe8000 1.48828125 01011111 1 31 011111 01101111 3 15 01111 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
063 0xbfbf8000 -1.49609375 0xbfbf8000 -1.49609375 11011111 1 31 011111 11101111 3 15 01111 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
064 0x3fc08000 1.50390625 0x3fc08000 1.50390625 01100000 1 32 100000 01110000 3 16 10000 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
065 0xbfc18000 -1.51171875 0xbfc18000 -1.51171875 11100000 1 32 100000 11110000 3 16 10000 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
066 0x3fc28000 1.51953125 0x3fc28000 1.51953125 01100001 1 33 100001 01110000 3 16 10000 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
067 0xbfc38000 -1.52734375 0xbfc38000 -1.52734375 11100001 1 33 100001 11110000 3 16 10000 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
068 0x3fc48000 1.53515625 0x3fc48000 1.53515625 01100010 1 34 100010 01110001 3 17 10001 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
069 0xbfc58000 -1.54296875 0xbfc58000 -1.54296875 11100010 1 34 100010 11110001 3 17 10001 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
070 0x3fc68000 1.55078125 0x3fc68000 1.55078125 01100011 1 35 100011 01110001 3 17 10001 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
071 0xbfc78000 -1.55859375 0xbfc78000 -1.55859375 11100011 1 35 100011 11110001 3 17 10001 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
072 0x3fc88000 1.56640625 0x3fc88000 1.56640625 01100100 1 36 100100 01110010 3 18 10010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
073 0xbfc98000 -1.57421875 0xbfc98000 -1.57421875 11100100 1 36 100100 11110010 3 18 10010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
074 0x3fca8000 1.58203125 0x3fca8000 1.58203125 01100101 1 37 100101 01110010 3 18 10010 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
075 0xbfcb8000 -1.58984375 0xbfcb8000 -1.58984375 11100101 1 37 100101 11110010 3 18 10010 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
076 0x3fcc8000 1.59765625 0x3fcc8000 1.59765625 01100110 1 38 100110 01110011 3 19 10011 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
077 0xbfcd8000 -1.60546875 0xbfcd8000 -1.60546875 11100110 1 38 100110 11110011 3 19 10011 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
078 0x3fce8000 1.61328125 0x3fce8000 1.61328125 01100111 1 39 100111 01110011 3 19 10011 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
079 0xbfcf8000 -1.62109375 0xbfcf8000 -1.62109375 11100111 1 39 100111 11110011 3 19 10011 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
080 0x3fd08000 1.62890625 0x3fd08000 1.62890625 01101000 1 40 101000 01110100 3 20 10100 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
081 0xbfd18000 -1.63671875 0xbfd18000 -1.63671875 11101000 1 40 101000 11110100 3 20 10100 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
082 0x3fd28000 1.64453125 0x3fd28000 1.64453125 01101001 1 41 101001 01110100 3 20 10100 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
083 0xbfd38000 -1.65234375 0xbfd38000 -1.65234375 11101001 1 41 101001 11110100 3 20 10100 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
084 0x3fd48000 1.66015625 0x3fd48000 1.66015625 01101010 1 42 101010 01110101 3 21 10101 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
085 0xbfd58000 -1.66796875 0xbfd58000 -1.66796875 11101010 1 42 101010 11110101 3 21 10101 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
086 0x3fd68000 1.67578125 0x3fd68000 1.67578125 01101011 1 43 101011 01110101 3 21 10101 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
087 0xbfd78000 -1.68359375 0xbfd78000 -1.68359375 11101011 1 43 101011 11110101 3 21 10101 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
088 0x3fd88000 1.69140625 0x3fd88000 1.69140625 01101100 1 44 101100 01110110 3 22 10110 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
089 0xbfd98000 -1.69921875 0xbfd98000 -1.69921875 11101100 1 44 101100 11110110 3 22 10110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
090 0x3fda8000 1.70703125 0x3fda8000 1.70703125 01101101 1 45 101101 01110110 3 22 10110 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
091 0xbfdb8000 -1.71484375 0xbfdb8000 -1.71484375 11101101 1 45 101101 11110110 3 22 10110 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
092 0x3fdc8000 1.72265625 0x3fdc8000 1.72265625 01101110 1 46 101110 01110111 3 23 10111 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
093 0xbfdd8000 -1.73046875 0xbfdd8000 -1.73046875 11101110 1 46 101110 11110111 3 23 10111 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
094 0x3fde8000 1.73828125 0x3fde8000 1.73828125 01101111 1 47 101111 01110111 3 23 10111 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
095 0xbfdf8000 -1.74609375 0xbfdf8000 -1.74609375 11101111 1 47 101111 11110111 3 23 10111 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
096 0x3fe08000 1.75390625 0x3fe08000 1.75390625 01110000 1 48 110000 01111000 3 24 11000 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
097 0xbfe18000 -1.76171875 0xbfe18000 -1.76171875 11110000 1 48 110000 11111000 3 24 11000 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
098 0x3fe28000 1.76953125 0x3fe28000 1.76953125 01110001 1 49 110001 01111000 3 24 11000 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
099 0xbfe38000 -1.77734375 0xbfe38000 -1.77734375 11110001 1 49 110001 11111000 3 24 11000 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
100 0x3fe48000 1.78515625 0x3fe48000 1.78515625 01110010 1 50 110010 01111001 3 25 11001 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
101 0xbfe58000 -1.79296875 0xbfe58000 -1.79296875 11110010 1 50 110010 11111001 3 25 11001 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
102 0x3fe68000 1.80078125 0x3fe68000 1.80078125 01110011 1 51 110011 01111001 3 25 11001 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
103 0xbfe78000 -1.80859375 0xbfe78000 -1.80859375 11110011 1 51 110011 11111001 3 25 11001 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
104 0x3fe88000 1.81640625 0x3fe88000 1.81640625 01110100 1 52 110100 01111010 3 26 11010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
105 0xbfe98000 -1.82421875 0xbfe98000 -1.82421875 11110100 1 52 110100 11111010 3 26 11010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
106 0x3fea8000 1.83203125 0x3fea8000 1.83203125 01110101 1 53 110101 01111010 3 26 11010 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x3f800000 1
107 0xbfeb8000 -1.83984375 0xbfeb8000 -1.83984375 11110101 1 53 110101 11111010 3 26 11010 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3f800000 1
