model_name,logical_record_index,physical_run_id,physical_cluster_size,selection_direction,reconstructed_duplicate,weight_type,weight_mode,input_type,input_mode,bit_width,experiment_type,acc1,acc5,mse,l1,host_provenance_label,independent_measurement_in_phase3,independent_statistical_sample_in_phase3,pim_cost_candidate,pim_format_status
resnet50,10,1205,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e7m0,baseline,8,hybrid_quant_optimal,1.54,5.542,0.029853070989751845,0.13210687992550468,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,11,1215,1,input_fixed,false,fp8_e3m4,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,79.708,94.84,3.3640294900046396e-05,0.005266351721399871,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,12,1214,1,input_fixed,false,fp8_e4m3,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,78.546,94.296,3.365927033754453e-05,0.005254542796107053,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,13,1213,1,input_fixed,false,fp8_e5m2,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,74.472,92.606,3.293426075647853e-05,0.0051991394361512,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,14,1212,1,input_fixed,false,fp8_e6m1,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,34.842,58.36,3.035105405888334e-05,0.004963451187120983,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,15,1211,1,input_fixed,false,fp8_e7m0,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,0.29,0.946,2.5733264526585477e-05,0.004517369941844057,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,16,1217,1,input_fixed,false,opt_chunk_mse,optimized,fp8_e1m6,baseline,8,hybrid_quant_optimal,80.182,94.994,3.399550093211359e-05,0.005290721865521584,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,17,1230,1,input_fixed,false,fp7_e1m5,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,79.126,94.538,9.3398132826363e-05,0.008419116613907342,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,18,1229,1,input_fixed,false,fp7_e2m4,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,79.598,94.888,9.294965295959352e-05,0.008394165004274722,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,19,1228,1,input_fixed,false,fp7_e3m3,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,78.42,94.264,9.268369324967889e-05,0.008368353017937369,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,20,1227,1,input_fixed,false,fp7_e4m2,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,74.398,92.476,9.126929836366988e-05,0.008311227843436757,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,21,1226,1,input_fixed,false,fp7_e5m1,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,34.846,58.266,8.688602763979682e-05,0.00806651766003881,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,22,1225,1,input_fixed,false,fp7_e6m0,baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,0.3,0.944,7.873768163590565e-05,0.007617768551906673,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,23,1069,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,80.006,94.974,9.34569674693918e-05,0.008413933021789076,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,24,1066,1,,false,fp8_e2m5,best_baseline,fp7_e1m5,best_baseline,7,hybrid_quant_optimal,80.068,94.952,0.00013569440740144958,0.01057348457901753,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,25,1224,2,input_fixed,true,opt_chunk_mse,optimized,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,79.514,94.84,9.291630937576733e-05,0.00839209066986823,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,26,1224,2,weight_fixed,false,opt_chunk_mse,optimized,dyn_input_mse_7bit,dynamic,7,hybrid_quant_optimal,79.514,94.84,9.291630937576733e-05,0.00839209066986823,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,27,1223,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e1m5,baseline,7,hybrid_quant_optimal,79.49,94.76,0.0001341622625482015,0.010523766447677062,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,28,1222,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e2m4,baseline,7,hybrid_quant_optimal,79.396,94.842,0.00013006065269455982,0.009241178381910568,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,29,1221,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e3m3,baseline,7,hybrid_quant_optimal,78.99,94.598,0.0004896007982486884,0.016812092204516325,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,30,1220,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e4m2,baseline,7,hybrid_quant_optimal,76.314,93.43,0.0019742602149237245,0.03371301837944356,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,31,1219,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e5m1,baseline,7,hybrid_quant_optimal,62.66,85.982,0.007777714297867274,0.06727508877814004,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,32,1218,1,weight_fixed,false,opt_chunk_mse,optimized,fp7_e6m0,baseline,7,hybrid_quant_optimal,1.536,5.416,0.030802658120826144,0.13239869259536283,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,33,1240,1,input_fixed,false,fp6_e1m4,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,69.55,90.044,0.0005223466928835338,0.02075416783330022,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,34,1236,1,weight_fixed,false,fp6_e2m3,baseline,dyn_input_mse_6bit,dynamic,6,hybrid_quant_optimal,76.428,93.478,0.00037085044972087473,0.016784366635369953,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,35,1235,2,input_fixed,true,fp6_e2m3,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,76.356,93.26,0.0005377368403099694,0.021050539375281146,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,36,1235,2,weight_fixed,false,fp6_e2m3,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,76.356,93.26,0.0005377368403099694,0.021050539375281146,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,37,1234,1,weight_fixed,false,fp6_e2m3,baseline,fp6_e2m3,baseline,6,hybrid_quant_optimal,76.336,93.31,0.0005188325630045659,0.018449041993581293,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,38,1233,1,weight_fixed,false,fp6_e2m3,baseline,fp6_e3m2,baseline,6,hybrid_quant_optimal,73.176,91.548,0.0019605009083969566,0.03358035280586236,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,39,1232,1,weight_fixed,false,fp6_e2m3,baseline,fp6_e4m1,baseline,6,hybrid_quant_optimal,57.342,81.386,0.007745062555158368,0.06705618600739864,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,40,1231,1,weight_fixed,false,fp6_e2m3,baseline,fp6_e5m0,baseline,6,hybrid_quant_optimal,1.306,4.58,0.031524847698406924,0.132105612585642,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,41,1239,1,input_fixed,false,fp6_e3m2,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,73.532,91.924,0.0005251400915252219,0.020777832425641813,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,42,1238,1,input_fixed,false,fp6_e4m1,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,32.956,55.928,0.0004862713541609475,0.019878535339265622,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,43,1237,1,input_fixed,false,fp6_e5m0,baseline,fp6_e1m4,baseline,6,hybrid_quant_optimal,0.306,0.898,0.0004029101148521798,0.01780505550864927,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,44,1071,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_6bit,dynamic,6,hybrid_quant_optimal,79.498,94.75,0.000372265526251343,0.016830735106785465,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,45,1070,1,,false,fp8_e2m5,best_baseline,fp6_e1m4,best_baseline,6,hybrid_quant_optimal,79.524,94.626,0.0005401666074852423,0.021124537957980097,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,46,1241,1,input_fixed,false,opt_chunk_mse,optimized,fp6_e1m4,baseline,6,hybrid_quant_optimal,74.842,92.49,0.0005352218381382269,0.02099879132624514,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,47,1250,1,input_fixed,false,fp5_e1m3,baseline,fp5_e1m3,baseline,5,hybrid_quant_optimal,43.322,66.344,0.00202057271359103,0.040818361577921757,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,48,1249,1,input_fixed,false,fp5_e2m2,baseline,fp5_e1m3,baseline,5,hybrid_quant_optimal,59.498,82.46,0.0020393413696991177,0.040943998400402755,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,49,1248,1,input_fixed,false,fp5_e3m1,baseline,fp5_e1m3,baseline,5,hybrid_quant_optimal,29.474,50.566,0.0019455082533206107,0.03986569993408682,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,50,1247,1,input_fixed,false,fp5_e4m0,baseline,fp5_e1m3,baseline,5,hybrid_quant_optimal,0.29,0.786,0.0016229707219286573,0.03545486945845695,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,51,1074,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_5bit,dynamic,5,hybrid_quant_optimal,77.194,94.01,0.0014791021144646918,0.03362542654248826,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,52,1073,1,,false,fp8_e2m5,best_baseline,fp5_e1m3,best_baseline,5,hybrid_quant_optimal,77.648,93.8,0.002153733939398239,0.042256361682482965,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,53,1246,1,weight_fixed,false,opt_chunk_mse,optimized,dyn_input_mse_5bit,dynamic,5,hybrid_quant_optimal,61.132,84.142,0.0014356450941038338,0.032954142684068946,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,54,1245,2,input_fixed,true,opt_chunk_mse,optimized,fp5_e1m3,baseline,5,hybrid_quant_optimal,59.172,82.33,0.002048381189011723,0.04092539052973538,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,55,1245,2,weight_fixed,false,opt_chunk_mse,optimized,fp5_e1m3,baseline,5,hybrid_quant_optimal,59.172,82.33,0.002048381189011723,0.04092539052973538,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,56,1244,1,weight_fixed,false,opt_chunk_mse,optimized,fp5_e2m2,baseline,5,hybrid_quant_optimal,61.452,84.114,0.002068617079423194,0.0366043585598563,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,57,1243,1,weight_fixed,false,opt_chunk_mse,optimized,fp5_e3m1,baseline,5,hybrid_quant_optimal,46.036,71.92,0.007678244020732468,0.06680720279635295,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,58,1242,1,weight_fixed,false,opt_chunk_mse,optimized,fp5_e4m0,baseline,5,hybrid_quant_optimal,0.78,3.106,0.029945575915627673,0.13109880231538346,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,59,1257,1,input_fixed,false,fp4_e1m2,baseline,fp4_e1m2,baseline,4,hybrid_quant_optimal,3.662,9.37,0.00783973293927626,0.08030124956083995,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,60,1256,1,input_fixed,false,fp4_e2m1,baseline,fp4_e1m2,baseline,4,hybrid_quant_optimal,3.854,10.99,0.007597455337724854,0.07917818121314864,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,61,1255,1,input_fixed,false,fp4_e3m0,baseline,fp4_e1m2,baseline,4,hybrid_quant_optimal,0.236,0.72,0.006467699833107904,0.07126183286742001,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,62,1076,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_4bit,dynamic,4,hybrid_quant_optimal,68.156,90.02,0.005848112968553856,0.06725879326375286,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,63,1075,1,,false,fp8_e2m5,best_baseline,fp4_e1m2,best_baseline,4,hybrid_quant_optimal,69.09,88.622,0.008621865941114842,0.08488490212067393,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,64,1254,1,weight_fixed,false,opt_chunk_mse,optimized,dyn_input_mse_4bit,dynamic,4,hybrid_quant_optimal,7.92,18.42,0.005455889340411327,0.06437974757416311,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,65,1253,2,input_fixed,true,opt_chunk_mse,optimized,fp4_e1m2,baseline,4,hybrid_quant_optimal,6.09,15.24,0.007809988651659074,0.08000965023298286,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,66,1253,2,weight_fixed,false,opt_chunk_mse,optimized,fp4_e1m2,baseline,4,hybrid_quant_optimal,6.09,15.24,0.007809988651659074,0.08000965023298286,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,67,1252,1,weight_fixed,false,opt_chunk_mse,optimized,fp4_e2m1,baseline,4,hybrid_quant_optimal,5.774,14.646,0.007877326044485457,0.07196263662224238,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,68,1251,1,weight_fixed,false,opt_chunk_mse,optimized,fp4_e3m0,baseline,4,hybrid_quant_optimal,0.334,1.234,0.02944853404601116,0.13109953176793013,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,69,1262,1,input_fixed,false,fp3_e1m1,baseline,dyn_input_mse_3bit,dynamic,3,hybrid_quant_optimal,0.126,0.554,0.01966452211262385,0.12125880463700703,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,70,1261,1,input_fixed,false,fp3_e2m0,baseline,dyn_input_mse_3bit,dynamic,3,hybrid_quant_optimal,0.146,0.646,0.018995940137021834,0.1189428434833208,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,71,1078,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_3bit,dynamic,3,hybrid_quant_optimal,20.44,47.592,0.022283511168921372,0.13258621225740436,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,72,1077,1,,false,fp8_e2m5,best_baseline,fp3_e1m1,best_baseline,3,hybrid_quant_optimal,11.94,25.502,0.036150899662298966,0.17463671950055193,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,73,1260,2,input_fixed,true,opt_chunk_mse,optimized,dyn_input_mse_3bit,dynamic,3,hybrid_quant_optimal,0.216,0.708,0.01894333294683363,0.11919162732479248,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,74,1260,2,weight_fixed,false,opt_chunk_mse,optimized,dyn_input_mse_3bit,dynamic,3,hybrid_quant_optimal,0.216,0.708,0.01894333294683363,0.11919162732479248,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,75,1259,1,weight_fixed,false,opt_chunk_mse,optimized,fp3_e1m1,baseline,3,hybrid_quant_optimal,0.21,0.764,0.0271782382238769,0.14720278907826168,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,76,1258,1,weight_fixed,false,opt_chunk_mse,optimized,fp3_e2m0,baseline,3,hybrid_quant_optimal,0.142,0.558,0.029740148134759725,0.13610878391835912,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,77,1265,1,input_fixed,false,fp2_e1m0,baseline,dyn_input_l1_2bit,dynamic,2,hybrid_quant_optimal,0.086,0.476,0.09077505938435787,0.2699398882781469,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,78,1085,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_2bit,dynamic,2,hybrid_quant_optimal,0.15,0.654,0.13634779158443333,0.3692809883915358,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,79,1079,1,,false,fp8_e2m5,best_baseline,fp2_e1m0,best_baseline,2,hybrid_quant_optimal,0.15,0.654,0.13634728692509063,0.3692820423854224,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,80,1264,2,input_fixed,true,opt_chunk_mse,optimized,dyn_input_l1_2bit,dynamic,2,hybrid_quant_optimal,0.086,0.476,0.09077505938435787,0.2699398882781469,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,81,1264,2,weight_fixed,false,opt_chunk_mse,optimized,dyn_input_l1_2bit,dynamic,2,hybrid_quant_optimal,0.086,0.476,0.09077505938435787,0.2699398882781469,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,82,1263,1,weight_fixed,false,opt_chunk_mse,optimized,fp2_e1m0,baseline,2,hybrid_quant_optimal,0.086,0.476,0.09077453724558533,0.26993961516700066,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
