split,case_id,repeat,kernel,evidence_label,logical_elements,padded_elements,logical_output_dim,logical_input_dim,vectors,parallel_tiles,input_tiles,input_count,padded_bursts,weight_bursts,partial_sum_bursts,initial_residency_cycles,kernel_execution_cycles,result_readback_cycles,native_total_cycles,native_total_read_transactions,native_total_write_transactions,exact_bit_mismatches,outside_pim_uncosted_operations,outside_pim_uncosted_operation_type,exit_code,stdout_sha256,stderr_sha256,traffic_logical_input_bytes,traffic_padded_input_bytes,traffic_logical_output_bytes,traffic_padded_output_readback_bytes,traffic_logical_weight_bytes,traffic_padded_weight_residency_bytes,traffic_padded_input_upload_bytes,traffic_partial_sum_readback_bytes
development,dev_relu_5tile,1,RELU,SIMULATED_PIM_HBM2,655360,655360,,,,5,,1,40960,,,1325,1793,1325,4443,48128,46656,0,0,,0,2cc82d195892eb432a7e871862aca49dfec3c6fd3388dd1611053575b97effee,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1310720,1310720,1310720,1310720,,,,
development,dev_relu_5tile,2,RELU,SIMULATED_PIM_HBM2,655360,655360,,,,5,,1,40960,,,1325,1793,1325,4443,48128,46656,0,0,,0,2cc82d195892eb432a7e871862aca49dfec3c6fd3388dd1611053575b97effee,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1310720,1310720,1310720,1310720,,,,
development,dev_gemv_o512_i1024_v1,1,GEMV,SIMULATED_PIM_HBM2,,,512,1024,1,,8,,,262144,512,11368,3702,181,15251,35328,267328,0,7680,FP16 partial-sum reduction adds,0,94a97b5fe737693109c8704fd3aa4d56b10e500794f7f3bb17987c01ab3554b7,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2048,,1024,,1048576,8388608,2048,16384
development,dev_gemv_o512_i1024_v1,2,GEMV,SIMULATED_PIM_HBM2,,,512,1024,1,,8,,,262144,512,11368,3702,181,15251,35328,267328,0,7680,FP16 partial-sum reduction adds,0,94a97b5fe737693109c8704fd3aa4d56b10e500794f7f3bb17987c01ab3554b7,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2048,,1024,,1048576,8388608,2048,16384
development,dev_gemv_o1000_i1024_v1,1,GEMV,SIMULATED_PIM_HBM2,,,1000,1024,1,,8,,,262144,1000,11368,3702,181,15251,35816,267328,0,15000,FP16 partial-sum reduction adds,0,d40d418c1cd6548cf98cbf7f1fba1a90b8b9f7f8f4d61ae20c9369de660aff0d,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2048,,2000,,2048000,8388608,2048,32000
development,dev_gemv_o1000_i1024_v1,2,GEMV,SIMULATED_PIM_HBM2,,,1000,1024,1,,8,,,262144,1000,11368,3702,181,15251,35816,267328,0,15000,FP16 partial-sum reduction adds,0,d40d418c1cd6548cf98cbf7f1fba1a90b8b9f7f8f4d61ae20c9369de660aff0d,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2048,,2000,,2048000,8388608,2048,32000
development,dev_gemv_o512_i2048_v1,1,GEMV,SIMULATED_PIM_HBM2,,,512,2048,1,,16,,,524288,512,22486,6606,181,29273,68096,533568,0,7680,FP16 partial-sum reduction adds,0,3fa9c109ff15b6edec6f3d62a38906fd251cc3d01cdbd3a1af3e5ad04a8b3047,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,4096,,1024,,2097152,16777216,4096,16384
development,dev_gemv_o512_i2048_v1,2,GEMV,SIMULATED_PIM_HBM2,,,512,2048,1,,16,,,524288,512,22486,6606,181,29273,68096,533568,0,7680,FP16 partial-sum reduction adds,0,3fa9c109ff15b6edec6f3d62a38906fd251cc3d01cdbd3a1af3e5ad04a8b3047,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,4096,,1024,,2097152,16777216,4096,16384
development,dev_gemv_o1000_i2048_v4,1,GEMV,SIMULATED_PIM_HBM2,,,1000,2048,4,,16,,,524288,4000,22486,27453,724,50663,274336,561408,0,60000,FP16 partial-sum reduction adds,0,5c00ad433a56c2fa6601c0d9fdc7b4196ac7ff43803eb7df15c0696403206d6a,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,16384,,8000,,4096000,16777216,16384,128000
development,dev_gemv_o1000_i2048_v4,2,GEMV,SIMULATED_PIM_HBM2,,,1000,2048,4,,16,,,524288,4000,22486,27453,724,50663,274336,561408,0,60000,FP16 partial-sum reduction adds,0,5c00ad433a56c2fa6601c0d9fdc7b4196ac7ff43803eb7df15c0696403206d6a,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,16384,,8000,,4096000,16777216,16384,128000
development,dev_gemv_o512_i4608_v8,1,GEMV,SIMULATED_PIM_HBM2,,,512,4608,8,,36,,,1179648,4096,50008,119428,1449,170885,1200128,1335808,0,61440,FP16 partial-sum reduction adds,0,d08bb6ec76a9f6556c864b6d7e652c3c2ce0a5719aa7d6df42591dd8bca22e9b,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,73728,,8192,,4718592,37748736,73728,131072
development,dev_gemv_o512_i4608_v8,2,GEMV,SIMULATED_PIM_HBM2,,,512,4608,8,,36,,,1179648,4096,50008,119428,1449,170885,1200128,1335808,0,61440,FP16 partial-sum reduction adds,0,d08bb6ec76a9f6556c864b6d7e652c3c2ce0a5719aa7d6df42591dd8bca22e9b,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,73728,,8192,,4718592,37748736,73728,131072
validation,add_layer3_0_residual,1,ADD,SIMULATED_PIM_HBM2,200704,262144,,,,2,,2,16384,,,1069,1390,556,3015,22528,35392,0,0,,0,94a42b55d27473573f82a9366747e8da2b9651318f36b693ca9aa92ed56a9561,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,802816,1048576,401408,524288,,,,
validation,add_layer3_0_residual,2,ADD,SIMULATED_PIM_HBM2,200704,262144,,,,2,,2,16384,,,1069,1390,556,3015,22528,35392,0,0,,0,94a42b55d27473573f82a9366747e8da2b9651318f36b693ca9aa92ed56a9561,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,802816,1048576,401408,524288,,,,
validation,relu_layer1_0_post_add,1,RELU,SIMULATED_PIM_HBM2,802816,917504,,,,7,,1,57344,,,1837,2185,1836,5858,66560,65088,0,0,,0,87533bbae14a4d688d11ff43e4f578be26bbac73b8bf0b2cc89dee67414cb8ae,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1605632,1835008,1605632,1835008,,,,
validation,relu_layer1_0_post_add,2,RELU,SIMULATED_PIM_HBM2,802816,917504,,,,7,,1,57344,,,1837,2185,1836,5858,66560,65088,0,0,,0,87533bbae14a4d688d11ff43e4f578be26bbac73b8bf0b2cc89dee67414cb8ae,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1605632,1835008,1605632,1835008,,,,
validation,fc_classifier,1,GEMV,SIMULATED_PIM_HBM2,,,1000,2048,1,,16,,,524288,1000,22486,6606,181,29273,68584,533568,0,15000,FP16 partial-sum reduction adds,0,304b610b11fdd6f3a94532baf9b570e049ec585feb7e15aa457c28e3c713d232,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,4096,,2000,,4096000,16777216,4096,32000
validation,fc_classifier,2,GEMV,SIMULATED_PIM_HBM2,,,1000,2048,1,,16,,,524288,1000,22486,6606,181,29273,68584,533568,0,15000,FP16 partial-sum reduction adds,0,304b610b11fdd6f3a94532baf9b570e049ec585feb7e15aa457c28e3c713d232,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,4096,,2000,,4096000,16777216,4096,32000
validation,conv_layer4_0_conv2,1,GEMV,SIMULATED_PIM_HBM2,,,512,4608,49,,36,,,1179648,25088,50008,731644,8875,790527,7350784,2136128,0,376320,FP16 partial-sum reduction adds,0,2fd343f67b296c17649276836e0515cb5d87e08ce599f64cf0e169e0a87d87a8,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,451584,,50176,,4718592,37748736,451584,802816
validation,conv_layer4_0_conv2,2,GEMV,SIMULATED_PIM_HBM2,,,512,4608,49,,36,,,1179648,25088,50008,731644,8875,790527,7350784,2136128,0,376320,FP16 partial-sum reduction adds,0,2fd343f67b296c17649276836e0515cb5d87e08ce599f64cf0e169e0a87d87a8,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,451584,,50176,,4718592,37748736,451584,802816
