tensor_domain,representation,observed_result_bit_width_groups,host_quality_record_status,pim_mapping_status,pim_transaction_packing_validated,pim_datapath_validated,pim_scale_or_zero_point_metadata_bytes,pim_block_scaling_metadata_bytes,pim_sparse_index_metadata_bytes,pim_latency,unavailable_values_encoded_as_zero
input,fp8_e7m0,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp2_e1m0,2,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp32,32,PRESENT_PROVENANCE_UNRESOLVED,NOT_MAPPED_TO_PIM,false,false,,,,,false
weight,fp3_e1m1,3,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp3_e2m0,3,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp4_e1m2,4,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp4_e2m1,4,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp4_e3m0,4,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp5_e1m3,5,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp5_e2m2,5,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp5_e3m1,5,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp5_e4m0,5,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp6_e1m4,6,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp6_e2m3,6,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp6_e3m2,6,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp6_e4m1,6,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp6_e5m0,6,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e1m5,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e2m4,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e3m3,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e4m2,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e5m1,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp7_e6m0,7,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e1m6,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e2m5,2;3;4;5;6;7;8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e3m4,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e4m3,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e5m2,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e6m1,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,fp8_e7m0,8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
weight,opt_chunk_mse,2;3;4;5;6;7;8,PRESENT_PROVENANCE_UNRESOLVED,UNSUPPORTED_PIM_FORMAT,false,false,,,,,false
input,fp16_dense,,NOT_PRESENT_IN_DIRECTIONAL_QUALITY_JSON,VALIDATED_NATIVE_PIM_REPRESENTATION,true,true,0,0,0,See simulator_measurements.csv,false
weight,fp16_dense,,NOT_PRESENT_IN_DIRECTIONAL_QUALITY_JSON,VALIDATED_NATIVE_PIM_REPRESENTATION,true,true,0,0,0,See simulator_measurements.csv,false
output,fp16_dense,,NOT_PRESENT_IN_DIRECTIONAL_QUALITY_JSON,VALIDATED_NATIVE_PIM_REPRESENTATION,true,true,0,0,0,See simulator_measurements.csv,false
partial_sum,fp16_dense,,NOT_PRESENT_IN_DIRECTIONAL_QUALITY_JSON,VALIDATED_NATIVE_PIM_REPRESENTATION,true,true,0,0,0,See simulator_measurements.csv,false
