model,bit_width,exp_cap,activation_dt,candidate_count,candidate_formats,acc1,acc5,delta_acc1_vs_fp32,certainty,norm_mse,norm_l1
efficientnet_b0,7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",77.218,93.354,-0.43200000000000216,0.7007205323219299,0.0001598773978152638,0.012323605444777631
efficientnet_b0,7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",77.21,93.402,-0.44000000000001194,0.7006941464805603,0.00015987720090243423,0.0123236109892942
efficientnet_b0,6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",75.648,92.646,-2.0020000000000095,0.675565624370575,0.0006324738358843606,0.024143471201884443
efficientnet_b0,6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",75.666,92.654,-1.9840000000000089,0.6755809970283508,0.0006324698226131162,0.024143483888257364
efficientnet_b0,5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",70.092,89.332,-7.558000000000007,0.580000163526535,0.0023801345921810485,0.04609242149237189
efficientnet_b0,4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",30.428,52.748,-47.22200000000001,0.2084307037305832,0.009219206644685875,0.09041981361709042
mobilevit_s,8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",78.206,94.152,-0.11399999999999011,0.735814347820282,5.256603492809702e-05,0.007181436403566019
mobilevit_s,8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",78.206,94.152,-0.11399999999999011,0.735814347820282,5.256603492809702e-05,0.007181436403566019
mobilevit_s,8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",78.206,94.144,-0.11399999999999011,0.7358264256477356,5.256589648916547e-05,0.007181420949453682
mobilevit_s,7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",78.048,93.986,-0.27199999999999136,0.7463817559623718,4.036277143477396e-05,0.01397667343229839
mobilevit_s,7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",78.048,93.986,-0.27199999999999136,0.7463818371772766,4.036277143477396e-05,0.01397667343229839
mobilevit_s,7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",78.048,93.988,-0.27199999999999136,0.7463854075622559,4.036277143477396e-05,0.013976712222991156
mobilevit_s,6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",76.48,93.046,-1.8399999999999892,0.752697321023941,0.0005862454897667112,0.025928053707257197
mobilevit_s,6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",76.462,93.058,-1.8579999999999899,0.7526758049297333,0.0006780762188305822,0.023782266206279084
mobilevit_s,5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",66.826,86.904,-11.494,0.6364754555511475,nan,0.04311100031349031
mobilevit_s,4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",0.792,2.758,-77.52799999999999,0.3059940856266022,nan,0.07151286853039995
vit_b_16,8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",80.982,95.284,-0.08400000000000318,0.7551259186172485,3.934901082328936e-05,0.0064204821494321775
vit_b_16,8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",80.982,95.284,-0.08400000000000318,0.7551259186172485,3.934901082328936e-05,0.0064204821494321775
vit_b_16,8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",81.006,95.276,-0.060000000000002274,0.7551766254806519,3.934946204028033e-05,0.006420508787757543
vit_b_16,7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",80.842,95.276,-0.22400000000000375,0.7530961103439331,0.00015783332380747456,0.012784093448698351
vit_b_16,7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",80.842,95.276,-0.22400000000000375,0.7530961103439331,0.00015783332380747456,0.012784093448698351
vit_b_16,7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",80.848,95.266,-0.21800000000000352,0.7530596455955505,0.00015783474806503663,0.012784100412147979
vit_b_16,6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",80.554,95.13,-0.5120000000000005,0.7389470335960389,0.0006277168247274888,0.02555270823564037
vit_b_16,6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",80.52,95.076,-0.5460000000000065,0.7391441736602783,0.0006277244523755016,0.02555264709781386
vit_b_16,5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",78.974,94.132,-2.0919999999999987,0.6856925605010986,0.0025503951314559668,0.051116680541999526
vit_b_16,4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",67.704,87.438,-13.362000000000009,0.5069850333881378,0.010150720016944186,0.10217234734031871
